index,d__Eukaryota,d__Bacteria,Unassigned,d__Archaea,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW188,16.0,11487.0,84.0,0.0,1632,125.0,HIMB,M6,1,Mcapitata,Hard,1632,HTAC,HT,AC,7,12
HPW189,73.0,25776.0,217.0,0.0,1651,126.0,HIMB,M61,7,Mcapitata,Hard,1651,ATAC,AT,AC,8,4
HPW190,29743.0,1028.0,411.0,0.0,2527,127.0,Reef.18,P57,6,Pacuta,Hard,2527,HTHC,HT,HC,10,3
HPW191,31457.0,893.0,238.0,6.0,1676,128.0,Reef.42.43,P41,5,Pacuta,Hard,1676,HTHC,HT,HC,5,1
HPW192,26825.0,828.0,267.0,0.0,2873,129.0,HIMB,P7,1,Pacuta,Hard,2873,ATHC,AT,HC,11,9
HPW193,23.0,5302.0,103.0,4.0,1120,130.0,Reef.42.43,M14,2,Mcapitata,Hard,1120,ATAC,AT,AC,1,12
HPW194,9.0,6116.0,160.0,0.0,1148,131.0,Reef.42.43,M4,1,Mcapitata,Hard,1148,ATHC,AT,HC,3,9
HPW195,45.0,13357.0,156.0,70.0,2995,132.0,Reef.11.13,M73,8,Mcapitata,Hard,2995,ATHC,AT,HC,12,9
HPW196,14104.0,920.0,235.0,0.0,1542,133.0,Lilipuna.Fringe,P52,6,Pacuta,Hard,1542,ATAC,AT,AC,8,6
HPW201,48846.0,670.0,368.0,0.0,2202,134.0,HIMB,P28,3,Pacuta,Hard,2202,HTHC,HT,HC,10,9
HPW202,30732.0,1657.0,165.0,0.0,1207,135.0,Reef.11.13,P63,7,Pacuta,Hard,1207,ATHC,AT,HC,3,1
HPW203,20.0,21176.0,505.0,18.0,1289,136.0,Reef.35.36,M44,5,Mcapitata,Hard,1289,HTAC,HT,AC,4,3
HPW204,20308.0,388.0,284.0,4.0,1239,137.0,Reef.42.43,P12,2,Pacuta,Hard,1239,HTHC,HT,HC,2,1
HPW205,15770.0,1123.0,86.0,0.0,1696,138.0,Lilipuna.Fringe,P48,5,Pacuta,Hard,1696,HTAC,HT,AC,9,9
HPW206,28268.0,327.0,564.0,0.0,2414,139.0,Reef.18,P48,5,Pacuta,Hard,2414,HTAC,HT,AC,9,1
HPW207,0.0,16902.0,80.0,3.0,1580,140.0,Reef.35.36,M33,4,Mcapitata,Hard,1580,ATAC,AT,AC,8,9
HPW208,5.0,29604.0,177.0,0.0,2183,141.0,Reef.42.43,M37,4,Mcapitata,Hard,2183,HTAC,HT,AC,9,1
HPW209,34548.0,3046.0,264.0,0.0,1418,142.0,Lilipuna.Fringe,P62,7,Pacuta,Hard,1418,HTHC,HT,HC,5,3
HPW210,25906.0,230.0,1154.0,0.0,1220,143.0,Lilipuna.Fringe,P45,5,Pacuta,Hard,1220,ATHC,AT,HC,3,4
HPW211,26793.0,838.0,333.0,17.0,1762,144.0,Reef.42.43,P31,4,Pacuta,Hard,1762,ATAC,AT,AC,6,4
HPW212,13805.0,9950.0,331.0,0.0,1642,145.0,HIMB,P30,3,Pacuta,Hard,1642,HTAC,HT,AC,7,3
HPW213,41.0,25638.0,273.0,0.0,1420,146.0,Reef.35.36,M69,7,Mcapitata,Hard,1420,ATAC,AT,AC,6,9
HPW214,6.0,22540.0,326.0,0.0,1331,147.0,Reef.11.13,M27,3,Mcapitata,Hard,1331,HTHC,HT,HC,5,9
HPW215,0.0,27561.0,179.0,0.0,1600,148.0,Reef.42.43,M57,6,Mcapitata,Hard,1600,ATAC,AT,AC,6,1
HPW216,41754.0,1310.0,251.0,0.0,1227,149.0,Reef.42.43,P39,4,Pacuta,Hard,1227,HTHC,HT,HC,2,3
HPW217,0.0,36664.0,262.0,0.0,1101,150.0,HIMB,M38,4,Mcapitata,Hard,1101,ATAC,AT,AC,1,3
HPW218,33860.0,1057.0,198.0,0.0,1050,151.0,Reef.18,P59,6,Pacuta,Hard,1050,ATAC,AT,AC,1,6
HPW219,0.0,13488.0,194.0,0.0,2518,152.0,Reef.18,M18,2,Mcapitata,Hard,2518,HTHC,HT,HC,10,3
HPW220,22015.0,225.0,89.0,0.0,1138,153.0,HIMB,P8,1,Pacuta,Hard,1138,HTHC,HT,HC,2,6
HPW221,11.0,13672.0,172.0,0.0,1826,154.0,Reef.11.13,M4,1,Mcapitata,Hard,1826,ATHC,AT,HC,12,1
HPW222,11.0,15642.0,303.0,0.0,1609,155.0,HIMB,M30,3,Mcapitata,Hard,1609,ATAC,AT,AC,6,4
HPW223,25608.0,3362.0,203.0,0.0,1486,156.0,Reef.11.13,P49,5,Pacuta,Hard,1486,HTAC,HT,AC,7,9
HPW224,41.0,33425.0,153.0,68.0,2862,157.0,HIMB,M46,5,Mcapitata,Hard,2862,ATHC,AT,HC,11,9
HPW225,43838.0,973.0,454.0,0.0,2363,158.0,Reef.18,P73,8,Pacuta,Hard,2363,ATAC,AT,AC,6,1
HPW226,34066.0,1018.0,252.0,0.0,1744,159.0,Reef.35.36,P46,5,Pacuta,Hard,1744,HTAC,HT,AC,9,6
HPW227,22358.0,341.0,370.0,0.0,2733,160.0,Reef.42.43,P55,6,Pacuta,Hard,2733,ATHC,AT,HC,11,4
HPW228,36933.0,956.0,419.0,4.0,1471,161.0,Reef.35.36,P71,8,Pacuta,Hard,1471,ATAC,AT,AC,6,3
HPW229,38114.0,1371.0,526.0,0.0,1466,162.0,Lilipuna.Fringe,P27,3,Pacuta,Hard,1466,HTAC,HT,AC,7,6
HPW230,26.0,32082.0,233.0,0.0,2000,163.0,HIMB,M10,1,Mcapitata,Hard,2000,HTAC,HT,AC,9,4
HPW231,38.0,32868.0,596.0,0.0,1306,164.0,Lilipuna.Fringe,M15,2,Mcapitata,Hard,1306,HTAC,HT,AC,4,9
HPW232,46018.0,1134.0,249.0,0.0,1451,165.0,Reef.18,P22,3,Pacuta,Hard,1451,ATHC,AT,HC,3,9
HPW233,26.0,17872.0,193.0,33.0,2190,166.0,Reef.42.43,M31,4,Mcapitata,Hard,2190,HTHC,HT,HC,10,12
HPW234,38226.0,1406.0,224.0,0.0,2977,167.0,Reef.11.13,P22,3,Pacuta,Hard,2977,ATHC,AT,HC,11,1
HPW235,33207.0,1822.0,186.0,0.0,2993,168.0,Reef.11.13,P56,6,Pacuta,Hard,2993,ATHC,AT,HC,12,4
HPW236,11.0,13576.0,168.0,0.0,2153,169.0,Reef.18,M4,1,Mcapitata,Hard,2153,HTAC,HT,AC,4,1
HPW237,34714.0,2951.0,372.0,0.0,1775,170.0,Reef.42.43,P14,2,Pacuta,Hard,1775,ATAC,AT,AC,8,1
HPW238,8.0,28764.0,875.0,4.0,1628,171.0,HIMB,M62,7,Mcapitata,Hard,1628,ATAC,AT,AC,6,3
HPW239,6.0,19979.0,360.0,0.0,1652,172.0,HIMB,M14,2,Mcapitata,Hard,1652,ATAC,AT,AC,8,1
HPW240,19.0,30696.0,131.0,0.0,2204,173.0,Reef.42.43,M66,7,Mcapitata,Hard,2204,HTHC,HT,HC,10,4
HPW241,0.0,29116.0,269.0,4.0,2561,174.0,Reef.18,M60,6,Mcapitata,Hard,2561,ATHC,AT,HC,12,4
HPW242,34750.0,950.0,169.0,0.0,2979,175.0,Reef.35.36,P35,4,Pacuta,Hard,2979,ATHC,AT,HC,12,9
HPW243,15.0,12318.0,146.0,0.0,2009,176.0,Lilipuna.Fringe,M37,4,Mcapitata,Hard,2009,HTHC,HT,HC,10,9
HPW244,23856.0,574.0,231.0,0.0,1701,177.0,Reef.18,P45,5,Pacuta,Hard,1701,HTAC,HT,AC,4,4
HPW245,28672.0,1527.0,290.0,0.0,1767,178.0,Reef.42.43,P43,5,Pacuta,Hard,1767,HTAC,HT,AC,7,4
HPW246,30.0,21839.0,757.0,0.0,2007,179.0,Reef.42.43,M65,7,Mcapitata,Hard,2007,HTAC,HT,AC,9,12
HPW247,5.0,19902.0,287.0,0.0,2534,180.0,Reef.18,P1,1,Pacuta,Hard,2534,ATHC,AT,HC,11,3
HPW248,33155.0,824.0,161.0,0.0,1588,181.0,Reef.18,M35,4,Mcapitata,Hard,1588,HTAC,HT,AC,4,6
HPW249,44002.0,1210.0,301.0,0.0,2999,182.0,Lilipuna.Fringe,P26,3,Pacuta,Hard,2999,ATHC,AT,HC,12,6
HPW250,147.0,28330.0,534.0,0.0,1611,183.0,Reef.42.43,M6,1,Mcapitata,Hard,1611,ATAC,AT,AC,6,6
HPW251,38372.0,2455.0,235.0,6.0,2026,184.0,Reef.42.43,P64,7,Pacuta,Hard,2026,HTAC,HT,AC,9,3
HPW252,9.0,12992.0,191.0,0.0,1140,185.0,HIMB,M25,3,Mcapitata,Hard,1140,HTHC,HT,HC,2,12
HPW253,38413.0,541.0,305.0,0.0,1637,186.0,Reef.11.13,P61,7,Pacuta,Hard,1637,ATAC,AT,AC,8,3
HPW254,13837.0,6195.0,222.0,10.0,1581,187.0,Lilipuna.Fringe,P61,7,Pacuta,Hard,1581,HTAC,HT,AC,9,4
HPW255,0.0,17101.0,275.0,0.0,1328,188.0,Reef.11.13,M41,5,Mcapitata,Hard,1328,HTHC,HT,HC,5,4
HPW256,66.0,12486.0,69.0,41.0,1154,189.0,HIMB,M60,6,Mcapitata,Hard,1154,ATHC,AT,HC,3,12
HPW257,7.0,28112.0,313.0,97.0,1323,190.0,Reef.35.36,M71,8,Mcapitata,Hard,1323,HTHC,HT,HC,5,1
HPW258,49513.0,950.0,148.0,0.0,1330,191.0,Reef.35.36,P49,5,Pacuta,Hard,1330,HTAC,HT,AC,4,6
HPW259,30.0,27745.0,433.0,0.0,1317,192.0,Reef.35.36,M30,3,Mcapitata,Hard,1317,HTHC,HT,HC,5,6
HPW260,44.0,19946.0,316.0,0.0,2990,193.0,Reef.18,M33,4,Mcapitata,Hard,2990,ATHC,AT,HC,12,12
HPW261,22.0,19417.0,139.0,0.0,2731,194.0,Reef.42.43,M55,6,Mcapitata,Hard,2731,ATHC,AT,HC,11,3
HPW262,60.0,30134.0,232.0,14.0,1467,195.0,Reef.11.13,M45,5,Mcapitata,Hard,1467,HTAC,HT,AC,7,9
HPW263,41950.0,573.0,140.0,0.0,2210,196.0,Reef.42.43,P16,2,Pacuta,Hard,2210,HTHC,HT,HC,10,1
HPW264,39391.0,1322.0,451.0,0.0,1617,197.0,Reef.42.43,P19,2,Pacuta,Hard,1617,HTAC,HT,AC,4,3
HPW265,15.0,14297.0,251.0,0.0,1705,198.0,Reef.35.36,M22,3,Mcapitata,Hard,1705,HTAC,HT,AC,9,6
HPW266,63.0,22901.0,123.0,4.0,2402,199.0,Reef.18,M67,7,Mcapitata,Hard,2402,ATAC,AT,AC,8,6
HPW267,2031.0,14302.0,176.0,0.0,1218,200.0,Reef.11.13,M63,7,Mcapitata,Hard,1218,ATHC,AT,HC,3,1
HPW268,12.0,26584.0,386.0,0.0,1481,201.0,Reef.35.36,M75,8,Mcapitata,Hard,1481,HTAC,HT,AC,7,4
HPW269,50.0,30868.0,691.0,0.0,1114,202.0,Reef.42.43,M11,2,Mcapitata,Hard,1114,ATAC,AT,AC,1,6
HPW270,369.0,19.0,3.0,0.0,2357,203.0,Reef.18,P68,7,Pacuta,Hard,2357,ATAC,AT,AC,6,9
HPW271,36.0,101096.0,598.0,0.0,1145,204.0,HIMB,M21,3,Mcapitata,Hard,1145,HTHC,HT,HC,2,1
HPW272,22.0,35679.0,600.0,0.0,1128,205.0,HIMB,M72,8,Mcapitata,Hard,1128,HTHC,HT,HC,2,3
HPW273,53672.0,910.0,377.0,0.0,1169,206.0,Reef.35.36,P38,4,Pacuta,Hard,1169,HTHC,HT,HC,2,4
HPW274,41.0,21129.0,234.0,0.0,1124,207.0,Reef.42.43,M33,4,Mcapitata,Hard,1124,HTHC,HT,HC,2,4
HPW275,14199.0,16788.0,127.0,0.0,1060,208.0,Reef.18,P44,5,Pacuta,Hard,1060,ATAC,AT,AC,1,4
HPW276,21.0,20725.0,89.0,0.0,2866,209.0,HIMB,M9,1,Mcapitata,Hard,2866,ATHC,AT,HC,12,3
HPW277,37043.0,10838.0,478.0,0.0,1141,210.0,Reef.42.43,P33,4,Pacuta,Hard,1141,ATAC,AT,AC,1,9
HPW278,41893.0,896.0,142.0,0.0,1721,211.0,Lilipuna.Fringe,P28,3,Pacuta,Hard,1721,HTHC,HT,HC,10,6
HPW279,16.0,16910.0,91.0,6.0,2555,212.0,Reef.18,M43,5,Mcapitata,Hard,2555,ATHC,AT,HC,12,6
HPW280,34.0,25850.0,318.0,0.0,1078,213.0,Reef.11.13,M11,2,Mcapitata,Hard,1078,HTHC,HT,HC,2,9
HPW281,28.0,40466.0,214.0,5.0,1164,214.0,Reef.35.36,M64,7,Mcapitata,Hard,1164,HTHC,HT,HC,2,6
HPW282,30139.0,1511.0,112.0,0.0,1343,215.0,Lilipuna.Fringe,P29,3,Pacuta,Hard,1343,HTHC,HT,HC,5,4
HPW283,73.0,29475.0,382.0,0.0,2736,216.0,Reef.42.43,M34,4,Mcapitata,Hard,2736,ATHC,AT,HC,11,12
HPW284,32643.0,3753.0,193.0,26.0,1594,217.0,Reef.35.36,P2,1,Pacuta,Hard,1594,ATAC,AT,AC,8,9
HPW285,38959.0,1547.0,356.0,0.0,2005,218.0,Reef.18,P71,8,Pacuta,Hard,2005,HTAC,HT,AC,4,1
HPW286,106.0,28701.0,233.0,0.0,1544,219.0,Reef.18,M54,6,Mcapitata,Hard,1544,ATHC,AT,HC,3,3
HPW287,0.0,27473.0,265.0,0.0,2068,220.0,Reef.35.36,M10,1,Mcapitata,Hard,2068,ATHC,AT,HC,11,1
HPW288,14.0,33731.0,398.0,0.0,1604,221.0,Reef.11.13,M34,4,Mcapitata,Hard,1604,HTHC,HT,HC,10,6
HPW289,16.0,38427.0,346.0,0.0,2016,222.0,Reef.35.36,M11,2,Mcapitata,Hard,2016,ATHC,AT,HC,11,6
HPW290,35.0,21842.0,417.0,0.0,1037,223.0,Reef.35.36,M35,4,Mcapitata,Hard,1037,ATAC,AT,AC,1,1
HPW291,20.0,44555.0,93.0,0.0,1452,224.0,Reef.35.36,M27,3,Mcapitata,Hard,1452,ATAC,AT,AC,6,12
HPW292,20.0,11383.0,108.0,0.0,1274,225.0,HIMB,M20,2,Mcapitata,Hard,1274,HTHC,HT,HC,5,12
HPW293,32858.0,852.0,169.0,0.0,1041,226.0,Reef.11.13,P18,2,Pacuta,Hard,1041,ATAC,AT,AC,1,3
HPW294,7.0,31689.0,198.0,80.0,1729,227.0,Reef.18,M10,1,Mcapitata,Hard,1729,HTAC,HT,AC,4,12
HPW295,0.0,24427.0,528.0,0.0,2081,228.0,HIMB,M13,2,Mcapitata,Hard,2081,HTHC,HT,HC,10,1
HPW296,26.0,19910.0,127.0,0.0,2734,229.0,Reef.42.43,M58,6,Mcapitata,Hard,2734,ATHC,AT,HC,11,4
HPW301,46799.0,2309.0,210.0,0.0,2743,230.0,Lilipuna.Fringe,P59,6,Pacuta,Hard,2743,ATHC,AT,HC,12,1
HPW302,62324.0,1047.0,172.0,0.0,1131,231.0,HIMB,P32,4,Pacuta,Hard,1131,HTHC,HT,HC,2,9
HPW303,18.0,22107.0,129.0,0.0,2403,232.0,Reef.18,M64,7,Mcapitata,Hard,2403,ATAC,AT,AC,8,12
HPW304,46174.0,691.0,259.0,0.0,1302,233.0,Reef.35.36,P64,7,Pacuta,Hard,1302,HTAC,HT,AC,4,9
HPW305,17625.0,626.0,254.0,0.0,2195,234.0,Reef.42.43,P44,5,Pacuta,Hard,2195,HTHC,HT,HC,10,4
HPW306,0.0,19927.0,278.0,0.0,1269,235.0,Reef.35.36,M16,2,Mcapitata,Hard,1269,HTAC,HT,AC,4,4
HPW307,31455.0,255.0,174.0,0.0,2002,236.0,Reef.42.43,P54,6,Pacuta,Hard,2002,ATAC,AT,AC,8,4
HPW308,3.0,34896.0,74.0,14.0,1212,237.0,Reef.11.13,M47,5,Mcapitata,Hard,1212,ATHC,AT,HC,3,6
HPW309,24449.0,1126.0,1572.0,0.0,1653,238.0,HIMB,P40,4,Pacuta,Hard,1653,HTAC,HT,AC,7,1
HPW310,24749.0,9122.0,73.0,0.0,1595,239.0,HIMB,P50,5,Pacuta,Hard,1595,HTHC,HT,HC,5,6
HPW311,108.0,29087.0,212.0,0.0,1277,240.0,HIMB,M50,5,Mcapitata,Hard,1277,HTHC,HT,HC,5,3
HPW312,592.0,17316.0,217.0,0.0,1548,241.0,Reef.11.13,M15,2,Mcapitata,Hard,1548,ATAC,AT,AC,8,3
HPW313,657.0,35609.0,399.0,0.0,2412,242.0,Reef.18,M39,4,Mcapitata,Hard,2412,HTAC,HT,AC,9,9
HPW314,917.0,21444.0,278.0,0.0,2021,243.0,Reef.42.43,M54,6,Mcapitata,Hard,2021,HTAC,HT,AC,9,3
HPW315,4026.0,38622.0,852.0,0.0,1108,244.0,Reef.35.36,M12,2,Mcapitata,Hard,1108,ATAC,AT,AC,1,4
HPW316,53779.0,4542.0,496.0,0.0,2305,245.0,Reef.18,P17,2,Pacuta,Hard,2305,HTHC,HT,HC,5,9
HPW317,23376.0,1849.0,196.0,0.0,1468,246.0,Reef.35.36,P53,6,Pacuta,Hard,1468,ATAC,AT,AC,6,6
HPW318,1715.0,33442.0,533.0,0.0,1579,247.0,Lilipuna.Fringe,M47,5,Mcapitata,Hard,1579,HTAC,HT,AC,7,1
HPW319,50431.0,549.0,232.0,0.0,2870,248.0,HIMB,P5,1,Pacuta,Hard,2870,ATHC,AT,HC,11,6
HPW320,1170.0,19555.0,100.0,0.0,1121,249.0,HIMB,M42,5,Mcapitata,Hard,1121,ATAC,AT,AC,1,9
HPW321,5885.0,47362.0,744.0,0.0,1221,250.0,Reef.35.36,M67,7,Mcapitata,Hard,1221,ATHC,AT,HC,3,4
HPW322,38713.0,989.0,896.0,0.0,1043,251.0,Lilipuna.Fringe,P67,7,Pacuta,Hard,1043,ATAC,AT,AC,1,1
