Sample.ID,TA,Mass,Tank,Type
20180903_Tank1,2181.698018,59.17,Tank1,Tank
20180903_Tank2,2180.228265,59.89,Tank2,Tank
20180903_Tank3,2177.701705,59.87,Tank3,Tank
20180903_Tank4,2175.235328,59.71,Tank4,Tank
20180903_Tank5,2171.257148,59.95,Tank5,Tank
20180903_Tank6,2173.39285,59.21,Tank6,Tank
20180903_Tank7,2170.078453,59.36,Tank7,Tank
20180903_Tank8,2169.675652,59.29,Tank8,Tank
20180903_Tank9,2170.990977,59.03,Tank9,Tank
20180903_JUNK,2192.585003,59.28,Junk,Junk
20180903_CRM1,2233.250506,59.81,CRM1,CRM
20180903_CRM2,2233.32095,59.82,CRM2,CRM
20180909_JUNK,2172.536582,59.45,Junk,Junk
20180909_CRM1,2237.140636,59.68,CRM1,CRM
20180909_CRM2,2236.215026,59.59,CRM2,CRM
20180909_Tank1,2175.22714,59.87,Tank1,Tank
20180909_Tank8,2156.613492,59.7,Tank8,Tank
20180909_Tank6,2153.724003,59.92,Tank6,Tank
20180909_Tank11,2160.305915,59.9,Tank11,Tank
20180909_Tank10,2155.242997,59.04,Tank10,Tank
20180909_Tank3,2156.762372,59.58,Tank3,Tank
20180909_Tank9,2159.319105,60.01,Tank9,Tank
20180909_Tank4,2165.930549,59.56,Tank4,Tank
20180909_Tank12,2162.324598,59.26,Tank12,Tank
20180914_JUNK,21.90911021,59.85,Junk,Junk
20180914_CRM1,2245.194835,59.49,CRM1,CRM
20180914_CRM2,2236.404923,59.16,CRM2,CRM
20180914_PAR0_IN1,2181.709874,59.62,INITIAL1,Initial
20180914_PAR0_IN2,2180.504326,59.24,INITIAL2,Initial
20180914_PAR0_CH10,2162.032783,59.48,CHAMBER10,Chamber
20180914_PAR0_CH8,2169.666618,59.67,CHAMBER8,Chamber
20180914_PAR0_CH9,2154.069244,59.04,CHAMBER9,Chamber
20180914_PAR0_CH6,2166.372624,59.35,CHAMBER6,Chamber
20180914_PAR0_CH7,2154.129552,59.29,CHAMBER7,Chamber
20180914_PAR0_CH5,2160.201447,59.11,CHAMBER5,Chamber
20180914_PAR0_CH4,2168.462497,59.29,CHAMBER4,Chamber
20180914_PAR0_IN3,2277.068951,59.4,INITIAL1,Initial
20180914_PAR0_CH1 ,2164.70778,59.75,CHAMBER1,Chamber
20180914_PAR0_CH3,2160.878991,59.67,CHAMBER3,Chamber
20180914_PAR0_CH2,2160.156065,59.25,CHAMBER82,Chamber
20180914_PAR150_IN1,2163.867399,60.05,INITIAL1,Initial
20180914_PAR150_IN2,2176.655955,59.79,INITIAL2,Initial
20180914_PAR150_IN3,2171.35544,59.22,INITIAL3,Initial
20180914_PAR150_CH1 ,2184.009375,59.54,CHAMBER1,Chamber
20180914_PAR150_CH4,2173.623394,60.05,CHAMBER2,Chamber
20180914_PAR150_CH10,2165.384485,59.62,CHAMBER3,Chamber
20180914_PAR150_CH2,2197.924935,59.98,CHAMBER4,Chamber
20180914_PAR150_CH9,2171.618768,59.36,CHAMBER5,Chamber
20180914_PAR150_CH6,2175.119934,59.92,CHAMBER6,Chamber
20180914_PAR150_CH3,2163.663244,59.64,CHAMBER7,Chamber
20180914_PAR150_CH8,2179.336685,59.53,CHAMBER8,Chamber
20180914_PAR150_CH5,2176.28491,59.38,CHAMBER9,Chamber
20180914_PAR150_CH7,2220.084266,59.51,CHAMBER7,Chamber
20180914_PAR600_IN1,2177.234879,59.54,INITIAL1,Initial
20180914_PAR600_CH4,2167.16151,59.19,CHAMBER4,Chamber
20180914_PAR600_IN3,2158.953417,59.19,INITIAL3,Initial
20180914_PAR600_CH7,2160.0551,59.18,CHAMBER7,Chamber
20180914_PAR600_CH3,2164.539191,60.02,CHAMBER3,Chamber
20180914_PAR600_CH9,2191.740538,59.52,CHAMBER9,Chamber
20180914_PAR600_CH2,2166.48662,59.46,CHAMBER2,Chamber
20180914_PAR600_CH6,2166.191259,59.94,CHAMBER6,Chamber
20180914_PAR600_CH8,2197.66754,59.01,CHAMBER8,Chamber
20180914_PAR600_CH1,2162.386485,59.05,CHAMBER1,Chamber
20180914_PAR600_IN2,2168.687653,59.36,INITIAL2,Initial
20180914_PAR600_CH5,2173.39603,60.03,CHAMBER5,Chamber
20180914_PAR600_CH10,2157.026965,59.83,CHAMBER10,Chamber
20180916_JUNK2,2176.260049,59.51,Junk2,Junk
20180916_CRM1,2232.946515,59.04,CRM1,CRM
20180916_CRM2,2232.948584,59.25,CRM2,CRM
20180916_Tank5,2156.788117,59.15,TANK5,Tank
20180916_Tank4,2150.013164,59.57,TANK4,Tank
20180916_Tank10,2157.65081,59.18,TANK10,Tank
20180916_Tank3,2136.98759,59.12,TANK3,Tank
20180916_Tank11,2135.76758,59.6,TANK11,Tank
20180916_Tank2,2153.039139,59.62,TANK2,Tank
20180916_Tank9A,2206.835702,59.9,TANK9,Tank
20180916_Tank9B,2205.425772,59.92,TANK9,Tank
20180916_Tank9C,2197.370183,59.28,TANK9,Tank
20180916_Tank9D,2202.213547,59.26,TANK9,Tank
20180916_Tank9E,2191.886077,59.45,TANK9,Tank
20180916_Tank9F,2194.99503,59.28,TANK9,Tank
20180916_Tank9G,2199.166223,59.17,TANK9,Tank
20180916_Tank9H,2197.711677,59.63,TANK9,Tank
20180916_Tank9I,2189.210842,59.07,TANK9,Tank
20180919_JUNK12,2220.423777,59.9,Junk12,Junk
20180919_CRM1,2232.140648,59.12,CRM1,CRM
20180919_CRM2,2236.478397,59.73,CRM2,CRM
20180919_Tank4,2208.583866,59.45,Tank4,Tank
20180919_Tank2,2204.256391,59.11,Tank2,Tank
20180919_Tank6,2202.523413,59.34,Tank6,Tank
20180919_Tank3,2199.867377,59.19,Tank3,Tank
20180919_Tank5,2202.377494,59.91,Tank5,Tank
20180919_Tank10,2197.784244,59.06,Tank10,Tank
20180919_Tank7,2202.322779,59.54,Tank7,Tank
20180919_Tank11,2204.874052,59.62,Tank11,Tank
20180919_Tank9,2184.775472,59.44,Tank9,Tank
20180919_Tank4,2198.102694,59.79,Tank12,Tank
20180919_Tank2,2195.150719,59.27,Tank12,Tank
20180919_Tank6,2197.691957,59.99,Tank8,Tank
20180919_CRM_A,2243.256617,59.63,CRM_A,CRM
20180919_CRM_B,2209.770505,59.42,CRM_B,CRM
20180919_CRM_C,2235.876111,59.56,CRM_C,CRM
20180919_CRM_D,2304.916778,59,CRM_D,CRM
20180919_CRM_E,2228.450379,59.3,CRM_E,CRM
20180919_CRM_F,2236.511665,59.06,CRM_F,CRM
20180919_CRM_G,2234.655431,59.78,CRM_G,CRM
20180919_CRM_H,2235.457621,59.81,CRM_H,CRM
20180919_CRM_I,2227.04577,59.65,CRM_I,CRM
20180922_JUNK12,2205.885682,59.05,Junk12,Junk
20180922_CRM1,2236.421932,59.77,CRM1,CRM
20180922_CRM2,2241.824375,59.62,CRM2,CRM
20180922_Tank6,2200.592482,59.45,Tank6,Tank
20180922_Tank5,2196.050393,59.54,Tank5,Tank
20180922_Tank4,2189.180004,59.84,Tank4,Tank
20180922_Tank8,2189.910924,59.55,Tank8,Tank
20180922_Tank7,2190.607603,59.88,Tank7,Tank
20180922_Tank2,2185.984461,59.6,Tank2,Tank
20180922_Tank3,2185.46482,59.11,Tank3,Tank
20180922_Tank9,2188.992814,59.95,Tank9,Tank
20180922_Tank1,2191.384472,59.04,Tank1,Tank
20180922_Tank10,2222.572046,59.36,Tank6,Tank
20180922_Tank12,2194.024996,58.99,Tank5,Tank
20180922_Tank11,2232.486396,59.32,Tank4,Tank
20180923_JUNK12,2219.481125,59.33,Junk12,Junk
20180923_CRM1,2234.347692,59.64,CRM1,CRM
20180923_CRM2,2314.066286,59.99,CRM2,CRM
20180923_JUNK12,2197.167135,58.98,Junk12,Junk
20180923_CRM3,2321.187576,59.72,CRM1,CRM
20180923_CRM4,2318.690517,60.03,CRM2,CRM
20180923_Tank10,2202.101853,59.01,Tank10,Tank
20180923_Tank8,2197.481023,59.46,Tank8,Tank
20180923_Tank5,2167.18981,59.73,Tank5,Tank
20180923_CRM5,2235.689705,59.26,CRM5,CRM
20180923_CRM6,2238.632973,59.8,CRM6,CRM
20180923_CRM7,2233.387779,59.72,CRM7,CRM
20180923_Tank3,2160.802761,59.6,Tank3,Tank
20180923_Tank12,2195.96208,59.38,Tank12,Tank
20180923_Tank1,2194.007476,59.11,Tank1,Tank
20180923_Tank11,2191.87723,59.6,Tank11,Tank
20180923_Tank9,2202.091263,59.24,Tank9,Tank
20180923_Tank4,2198.588547,59.99,Tank4,Tank
20180923_Tank6,2195.340216,59.9,Tank6,Tank
20180923_Tank7,2158.421322,59.03,Tank7,Tank
20180923_Tank2,2194.799802,59.64,Tank2,Tank
20180926_JUNK12,2202.10006,59.21,Junk12,Junk
20180926_CRM1,2237.216623,59.9,CRM1,CRM
20180926_CRM2,2240.805447,59.3,CRM2,CRM
20180926_Tank3,2172.783083,59.52,Tank3,Tank
20180926_Tank1,2174.805005,59.17,Tank1,Tank
20180926_Tank7,2175.496609,59.08,Tank7,Tank
20180926_Tank12,2181.020794,60.02,Tank12,Tank
20180926_Tank6,2200.541993,59.65,Tank6,Tank
20180926_Tank2,2180.481387,59.26,Tank2,Tank
20180926_Tank9,2180.039499,59.26,Tank9,Tank
20180926_Tank8,2223.035346,59.92,Tank8,Tank
20180926_Tank5,2183.088055,59.78,Tank5,Tank
20180926_Tank10,2182.4348,59.87,Tank10,Tank
20180926_Tank4,2173.236332,59.2,Tank4,Tank
20180926_Tank11,2148.583684,59.52,Tank11,Tank
20180929_JUNK,1092.964168,59.1,Junk,Junk
20180929_CRM1,2243.136601,59.56,CRM1,CRM
20180929_CRM2,2237.616592,59.17,CRM2,CRM
20180929_Tank9,2145.141778,59.91,Tank9,Tank
20180929_Tank8,2156.719116,59.93,Tank8,Tank
20180929_Tank1,2145.693016,59.46,Tank1,Tank
20180929_Tank3,2157.473576,59.8,Tank3,Tank
20180929_Tank7,2151.018361,59.05,Tank7,Tank
20180929_Tank5,2158.012407,59.21,Tank5,Tank
20180929_Tank2,2156.415082,59.31,Tank2,Tank
20180929_Tank6,2157.964295,59.11,Tank6,Tank
20180929_Tank4,2157.145373,59.74,Tank4,Tank
20180929_Tank10,2159.352209,59.18,Tank10,Tank
20180929_Tank11,2205.314236,59.86,Tank11,Tank
20180929_Tank12,2155.264456,59.02,Tank12,Tank
20181003_JUNK,26.88499957,59.92,Junk,Junk
20181003_CRM1,2240.277684,59.45,CRM1,CRM
20181003_CRM2,2242.277183,59.8,CRM2,CRM
20181003_Tank3,2190.661538,59.58,Tank3,Tank
20181003_Tank6,2177.659078,59.89,Tank6,Tank
20181003_Tank1,2180.091281,60.01,Tank1,Tank
20181003_Tank4,2241.370447,59.14,Tank4,Tank
20181003_Tank8,2182.584055,59.36,Tank8,Tank
20181003_Tank9,2173.872405,59.02,Tank9,Tank
20181003_Tank7,2183.662667,59.61,Tank7,Tank
20181003_Tank12,2216.735294,59.17,Tank12,Tank
20181003_Tank11,2183.225467,59.98,Tank11,Tank
20181003_Tank5,2194.588844,59.05,Tank5,Tank
20181003_Tank10,2190.960447,60.01,Tank10,Tank
20181003_Tank2,2162.710149,59.34,Tank2,Tank
20181010_JUNK10,2183.224704,59.53,Junk10,Junk
20181010_CRM1,2216.930321,59.12,CRM1,CRM
20181010_CRM2,2204.745004,59.87,CRM2,CRM
20181010_JUNK10,2183.224704,59.53,Junk10,Junk
20181010_CRM1,2216.930321,59.12,CRM1,CRM
20181010_CRM2,2204.745004,59.87,CRM2,CRM
20181010_Tank10,2176.932814,59.54,Tank10,Tank
20181010_Tank12,2180.240731,59.86,Tank12,Tank
20181010_Tank2,2179.647962,59.69,Tank2,Tank
20181010_Tank1,2232.466247,59.18,Tank1,Tank
20181010_Tank9,2173.360991,59.45,Tank9,Tank
20181010_Tank8,2166.310304,59.57,Tank8,Tank
20181010_Tank7,2169.820965,59.02,Tank7,Tank
20181010_Tank3,2175.74316,59.1,Tank3,Tank
20181010_Tank11,2194.911005,59.61,Tank11,Tank
20181010_Tank4,2175.159283,59.73,Tank4,Tank
20181010_Tank5,2185.308649,59.51,Tank5,Tank
20181010_Tank6,2179.158406,59.64,Tank6,Tank
20181006_JUNK6,2176.41705,59.31,Junk6,Junk
20181006_CRM1,2226.734075,59.75,CRM1,CRM
20181006_CRM2,2202.763366,59.89,CRM2,CRM
20181006_Tank5,2193.060611,59.52,Tank5,Tank
20181006_Tank11,2187.748403,59.8,Tank11,Tank
20181006_Tank8,2184.015397,59.06,Tank8,Tank
20181006_Tank6,2224.666735,59.56,Tank6,Tank
20181006_Tank12,2188.683719,59.84,Tank12,Tank
20181006_Tank1,2182.671952,59.78,Tank1,Tank
20181006_Tank2,2189.315694,59.22,Tank2,Tank
20181006_Tank7,2188.651695,59.43,Tank7,Tank
20181006_Tank3,2240.100436,59.78,Tank3,Tank
20181006_Tank10,2196.730747,59.56,Tank10,Tank
20181006_Tank4,2174.672614,59.33,Tank4,Tank
20181006_Tank9,2185.559385,59.3,Tank9,Tank
20181013_JUNK,13.58071287,59.55,Junk,Junk
20181013_CRM1,2222.724915,59.87,CRM1,CRM
20181013_CRM2,2216.370709,59.43,CRM2,CRM
20181013_Tank7,2167.144698,59.36,Tank7,Tank
20181013_Tank10,2169.918496,59.74,Tank10,Tank
20181013_Tank11,2174.218247,59.71,Tank11,Tank
20181013_Tank9,2162.876559,59.39,Tank9,Tank
20181013_Tank3,2180.30659,59.66,Tank3,Tank
20181013_Tank2,2178.804518,59.8,Tank2,Tank
20181013_Tank12,2171.300403,59.27,Tank12,Tank
20181013_Tank6,2195.974779,59.7,Tank6,Tank
20181013_Tank1,2162.14164,59.23,Tank1,Tank
20181013_Tank4,2167.39296,59.83,Tank4,Tank
20181013_Tank5,2168.227994,59.56,Tank5,Tank
20181013_Tank8,2160.194173,59.61,Tank8,Tank
20181017_JUNK11,2157.370136,59.81,Junk11,Junk
20181017_CRM1,2202.393214,59.51,CRM1,CRM
20181017_CRM2,2203.223614,59.89,CRM2,CRM
20181017_Tank11,2153.819984,59.77,Tank11,Tank
20181017_Tank3,2138.048388,59.53,Tank3,Tank
20181017_Tank9,2149.931074,59.06,Tank9,Tank
20181017_Tank1,2221.632047,59.01,Tank1,Tank
20181017_Tank4,2151.542539,59.26,Tank4,Tank
20181017_Tank6,2173.124247,59.43,Tank6,Tank
20181017_Tank8,2140.909553,59.87,Tank8,Tank
20181017_Tank10,2156.049155,59.37,Tank10,Tank
20181017_Tank12,2150.182502,59.94,Tank12,Tank
20181017_Tank2,2149.471836,59.46,Tank2,Tank
20181017_Tank5,2153.185733,59.57,Tank5,Tank
20181017_Tank7,2149.145442,59.21,Tank7,Tank
20181020_JUNK,18.9179679,59.38,Junk,Junk
20181020_CRM1,2228.368342,59.17,CRM1,CRM
20181020_CRM2,2203.576512,59.04,CRM2,CRM
20181020_Tank4,2162.760157,59.57,Tank4,Tank
20181020_Tank9,2154.23879,59.86,Tank9,Tank
20181020_Tank8,2122.177774,59.9,Tank8,Tank
20181020_Tank6,2152.640684,59.92,Tank6,Tank
20181020_Tank1,2154.681071,59.14,Tank1,Tank
20181020_Tank7,2155.368076,59.6,Tank7,Tank
20181020_Tank3,2135.232211,59.12,Tank3,Tank
20181020_Tank2,2132.330619,59.04,Tank2,Tank
20181020_Tank12,2134.63058,59.98,Tank12,Tank
20181020_Tank5,2135.823254,59.18,Tank5,Tank
20181020_Tank10,2149.994361,59.3,Tank10,Tank
20181020_Tank11,2138.100392,59.16,Tank11,Tank
20181027_JUNK,14.46360802,59.76,Junk,Junk
20181027_CRM1,2212.288225,59.72,CRM1,CRM
20181027_CRM2,2218.552581,59.8,CRM2,CRM
20181027_Tank11,2146.898919,59.37,Tank11,Tank
20181027_Tank12,2139.255826,59.62,Tank12,Tank
20181027_Tank10,2133.509588,59.94,Tank10,Tank
20181027_Tank3,2231.665459,59.69,Tank3,Tank
20181027_Tank4,2139.715899,60.01,Tank4,Tank
20181027_Tank9,2138.344068,59.58,Tank9,Tank
20181027_Tank2,2144.024757,59.14,Tank2,Tank
20181027_Tank6,2173.849147,59.65,Tank6,Tank
20181027_Tank5,2149.900526,59.52,Tank5,Tank
20181027_Tank8,2148.270739,59.49,Tank8,Tank
20181027_Tank1,2156.249283,59.8,Tank1,Tank
20181027_Tank7,2138.570055,59.92,Tank7,Tank
20181031_JUNK6,2191.286972,59.66,Junk,Junk
20181031_CRM1,2219.622023,59.4,CRM1,CRM
20181031_CRM2,2221.384591,59.29,CRM2,CRM
20181031_Tank1,2185.465511,59.75,Tank1,Tank
20181031_Tank6,2186.45925,59.01,Tank6,Tank
20181031_Tank8,2177.260838,59,Tank8,Tank
20181031_Tank7,2180.466296,59.98,Tank7,Tank
20181031_Tank2,2186.573374,59.65,Tank2,Tank
20181031_Tank4,2185.125815,59.64,Tank4,Tank
20181031_Tank9,2181.775748,59.16,Tank9,Tank
20181031_Tank11,2185.282861,59.23,Tank11,Tank
20181031_Tank12,2156.215543,59.68,Tank12,Tank
20181031_Tank3,2206.327651,59.47,Tank3,Tank
20181031_Tank5,2182.796078,59.27,Tank5,Tank
20181031_Tank10,2151.52551,59.36,Tank10,Tank
20181103_JUNK,2172.917329,59.5,Junk,Junk
20181103_CRM1,2216.386976,59.61,CRM1,CRM
20181103_CRM2,2217.033391,59.67,CRM2,CRM
20181103_Tank2,2178.766231,59.53,Tank2,Tank
20181103_Tank4,2167.05298,59.29,Tank4,Tank
20181103_Tank6,2076.788454,59.45,Tank6,Tank
20181103_Tank8,2170.449223,59.2,Tank8,Tank
20181103_Tank1,2148.19732,60.01,Tank1,Tank
20181103_Tank3,2169.621573,59.34,Tank3,Tank
20181103_Tank5,2174.034101,59.07,Tank5,Tank
20181103_Tank7,2171.767213,59.5,Tank7,Tank
20181103_Tank9,2168.908087,59.11,Tank9,Tank
20181103_Tank11,2175.8205,59.7,Tank11,Tank
20181103_Tank10,2160.252373,59.32,Tank10,Tank
20181103_Tank12,2175.283618,59.35,Tank12,Tank
20181107_JUNK3,2193.820151,59.47,Junk3,Junk
20181107_CRM1,2223.9103,59.45,CRM1,CRM
20181107_CRM2,2227.860622,59.72,CRM2,CRM
20181107_Tank1,2177.157881,59.79,Tank1,Tank
20181107_Tank7,2167.466835,60.03,Tank7,Tank
20181107_Tank2,2133.96666,59.77,Tank8,Tank
20181107_Tank8,2159.820335,59.25,Tank2,Tank
20181107_Tank5,2170.43085,59,Tank5,Tank
20181107_Tank12,2165.414388,59.08,Tank12,Tank
20181107_Tank3,2174.554507,59.7,Tank3,Tank
20181107_Tank4,2171.43411,59.61,Tank4,Tank
20181107_Tank6,2129.646321,59.17,Tank6,Tank
20181107_Tank9,2154.541784,59.38,Tank9,Tank
20181107_Tank10,2168.599858,59.45,Tank10,Tank
20181107_Tank11,2168.216713,59.35,Tank11,Tank
20181110_JUNK12,2095.124987,59.6,Junk12,Junk
20181110_CRM1,2218.393945,59.37,CRM1,CRM
20181110_CRM2,2218.355979,59.18,CRM2,CRM
20181110_Tank12,2094.291435,59.64,Tank12,Tank
20181110_Tank6,2087.974771,59.52,Tank6,Tank
20181110_Tank8,2088.003156,59.11,Tank8,Tank
20181110_Tank7,2092.578439,59.1,Tank7,Tank
20181110_Tank1,2079.88614,59.55,Tank1,Tank
20181110_Tank5,2109.353827,59.52,Tank5,Tank
20181110_Tank3,2092.071365,59.36,Tank3,Tank
20181110_Tank11,2075.155565,59.63,Tank11,Tank
20181110_Tank4,2069.310553,59.04,Tank4,Tank
20181110_Tank10,2092.96148,59.3,Tank10,Tank
20181110_Tank2,2079.647246,60.05,Tank2,Tank
20181110_Tank9,2035.064911,59.51,Tank9,Tank
20181114_JUNK2,2127.019645,59.25,Junk2,Junk
20181114_CRM1,2211.923102,59.19,CRM1,CRM
20181114_CRM2,2210.332032,59.28,CRM2,CRM
20181114_Tank1,2113.714259,59.3,Tank1,Tank
20181114_Tank3,2159.152604,59.16,Tank3,Tank
20181114_Tank5,2042.626471,59.21,Tank5,Tank
20181114_Tank7,2102.230851,59.99,Tank7,Tank
20181114_Tank9,2100.625861,59.2,Tank9,Tank
20181114_Tank11,2097.462751,59.36,Tank11,Tank
20181114_Tank2,2107.332087,59.45,Tank2,Tank
20181114_Tank4,2101.3978,59.1,Tank4,Tank
20181114_Tank6,2103.879283,59.08,Tank6,Tank
20181114_Tank12,2081.798928,59.9,Tank12,Tank
20181114_Tank10,2105.907554,59.3,Tank10,Tank
20181114_Tank8,2093.158177,59.01,Tank8,Tank
20181117_JUNK1,2145.536684,59.57,Junk1,Junk
20181117_CRM1,2212.676125,59.19,CRM1,CRM
20181117_CRM2,2098.698013,59.82,CRM2,CRM
20181117_Tank11,2112.067672,59.16,Tank11,Tank
20181117_Tank9,2120.3623,59.73,Tank9,Tank
20181117_Tank7,2119.100783,59.51,Tank7,Tank
20181117_Tank5,2123.027497,59.89,Tank5,Tank
20181117_Tank3,2114.715039,59.3,Tank3,Tank
20181117_Tank1,2110.898798,59.03,Tank1,Tank
20181117_Tank12,2123.330943,59.03,Tank12,Tank
20181117_Tank10,2080.176935,58.99,Tank10,Tank
20181117_Tank8,2086.741035,59.21,Tank8,Tank
20181117_Tank6,2109.78117,59.13,Tank6,Tank
20181117_Tank4,2112.69579,59.13,Tank4,Tank
20181117_Tank2,2120.039766,59.5,Tank2,Tank
20181125_JUNK1,2181.326356,59.73,Junk12,Junk
20181125_CRM1,2195.891476,59.31,CRM1,CRM
20181125_CRM2,2125.445842,59.24,CRM2,CRM
20181125_Tank1,2150.273596,59.91,Tank1,Tank
20181125_Tank10,2138.36183,59.23,Tank10,Tank
20181125_Tank12,2116.064304,59.35,Tank12,Tank
20181125_Tank9,2135.273748,59.85,Tank9,Tank
20181125_Tank7,2123.595569,59.59,Tank7,Tank
20181125_Tank2,2100.221038,59.89,Tank2,Tank
20181125_Tank8,2162.156407,59.8,Tank8,Tank
20181125_Tank11,2131.698269,59.62,Tank11,Tank
20181125_Tank3,2138.816701,59.6,Tank3,Tank
20181125_Tank6,2135.279639,59.97,Tank6,Tank
20181125_Tank5,2126.859006,59.26,Tank5,Tank
20181125_Tank4,2134.163536,59.59,Tank4,Tank